product,price,promotion,source
맨 벌룬핏 웨빙 데님 팬츠 블랙 워시드,"83,300원",30%,Lee Korea
맨 유틸리티 페인터 데님 팬츠 블랙 워시드,"90,300원",30%,Lee Korea
맨 빈티지 워싱 데님 팬츠 인디고 미듐,"59,500원",50%,Lee Korea
맨 빈티지 페인터 데님 팬츠 인디고 미듐,"71,400원",40%,Lee Korea
맨 빈티지 페인터 데님 팬츠 블랙 워시드,"71,400원",40%,Lee Korea
맨 스트레이트핏 콘밀 데님 팬츠 인디고 로우,"65,400원",40%,Lee Korea
맨 릴랙스드핏 데님 팬츠 인디고 미듐,"76,300원",30%,Lee Korea
맨 릴랙스드핏 데님 팬츠 블랙 워시드,"76,300원",30%,Lee Korea
맨 스트레이트핏 콘밀 데님 팬츠 블랙 로우,"65,400원",40%,Lee Korea
맨 스트레이트핏 데님 팬츠 인디고 미듐,"59,400원",40%,Lee Korea
맨 스트레이트핏 데님 팬츠 인디고 라이트,"59,400원",40%,Lee Korea
맨 스트레이트핏 데님 팬츠 에크루,"59,400원",40%,Lee Korea
맨 스탠다드핏 데님 팬츠 인디고 다크,"69,300원",30%,Lee Korea
맨 스탠다드핏 데님 팬츠 블랙 워시드,"69,300원",30%,Lee Korea
맨 웨빙 벨트 린넨 데님 팬츠 인디고 미듐,"59,500원",50%,Lee Korea
맨 웨빙 벨트 린넨 데님 팬츠 인디고 라이트,"59,500원",50%,Lee Korea
맨 웨빙 벨트 퍼티그 데님 팬츠 블랙,"65,400원",40%,Lee Korea
맨 스트레이트핏 데님 팬츠 블랙,"59,400원",40%,Lee Korea
맨 페인터 데님 팬츠 인디고 다크,"71,400원",40%,Lee Korea
맨 페인터 데님 팬츠 인디고 미듐,"71,400원",40%,Lee Korea
맨 릴랙스드핏 다잉 데님 팬츠 블랙,"65,400원",40%,Lee Korea
맨 릴랙스드 핏 데님팬츠 인디고 미듐,"65,400원",40%,Lee Korea
맨 스트레이트핏 RAW 데님 팬츠 블랙,"49,500원",50%,Lee Korea
맨 스탠다드핏 데님 팬츠 블랙,"49,500원",50%,Lee Korea
맨 스탠다드핏 데님 팬츠 인디고 미듐,"49,500원",50%,Lee Korea
맨 릴랙스드핏 다잉 데님 팬츠 베이지,"64,500원",50%,Lee Korea
맨 스트레이트핏 데님 팬츠 인디고 라이트,"59,400원",40%,Lee Korea
